Run_ID,Length_mm,TPU_Thick_mm,PLA_Thick_mm,PLA_Ratio,Temp_Change_C,Deflection_mm
1,236.5,1.38,0.89,0.39,60.0,-111.3726
2,152.07,0.64,1.42,0.69,60.0,-52.324
3,159.4,1.14,0.84,0.42,60.0,-60.1944
4,269.34,1.18,0.96,0.45,60.0,-147.3424
5,246.53,1.48,0.46,0.24,60.0,-135.7171
6,236.73,1.11,0.84,0.43,60.0,-125.566
7,148.66,0.22,0.77,0.78,60.0,-86.0097
8,239.34,0.77,1.24,0.62,60.0,-124.8184
9,246.69,0.83,0.25,0.23,60.0,-180.2157
10,226.42,0.74,1.31,0.64,60.0,-111.0522
11,197.78,0.65,0.47,0.42,60.0,-132.9957
12,150.84,1.39,0.63,0.31,60.0,-53.1311
13,213.01,1.18,1.31,0.53,60.0,-84.5573
14,256.47,0.69,0.99,0.59,60.0,-158.9151
15,121.87,1.23,0.77,0.38,60.0,-35.5809
16,208.76,1.15,0.46,0.28,60.0,-116.8507
17,143.22,1.3,0.99,0.43,60.0,-42.8347
18,196.39,1.26,1.39,0.52,60.0,-68.8404
19,171.84,1.06,1.31,0.55,60.0,-58.7556
20,105.94,0.4,0.76,0.66,60.0,-43.3256
21,127.91,1.06,1.22,0.53,60.0,-34.3975
22,150.35,1.12,1.26,0.53,60.0,-45.277
23,174.72,0.38,1.28,0.77,60.0,-80.2506
24,222.76,1.37,1.47,0.52,60.0,-82.1177
25,175.3,0.4,0.98,0.71,60.0,-94.0488
26,262.41,0.25,0.53,0.68,60.0,-175.8669
27,273.04,1.3,0.5,0.28,60.0,-169.9243
28,153.32,0.91,1.36,0.6,60.0,-48.9229
29,110.47,0.6,0.87,0.59,60.0,-38.4988
30,292.62,0.48,0.41,0.46,60.0,-189.6215
31,152.09,0.82,1.02,0.55,60.0,-58.2872
32,134.78,0.59,1.44,0.71,60.0,-41.8871
33,230.15,1.16,0.4,0.26,60.0,-140.4449
34,107.84,0.34,0.43,0.56,60.0,-61.1944
35,145.59,0.54,1.19,0.69,60.0,-55.9784
36,123.79,0.29,0.61,0.68,60.0,-68.5625
37,259.35,0.62,1.25,0.67,60.0,-150.8006
38,203.3,1.38,0.42,0.23,60.0,-102.2826
