Run_ID,Length_mm,TPU_Thick_Peak_mm,PLA_Thick_Min_mm,PLA_Ratio,Temp_Change_C,Deflection_mm
1,122.68,2.5,2.5,0.5,60.0,-2.3571
2,141.34,2.5,2.5,0.5,60.0,-4.8468
3,123.83,2.5,2.5,0.5,60.0,-2.3995
4,132.42,2.5,2.5,0.5,60.0,-2.7491
5,173.15,2.5,2.5,0.5,60.0,-6.8612
6,131.68,2.5,2.5,0.5,60.0,-2.718
7,161.46,2.5,2.5,0.5,60.0,-6.1702
8,145.34,2.5,2.5,0.5,60.0,-5.1156
9,180.5,2.5,2.5,0.5,60.0,-5.1346
10,167.58,2.5,2.5,0.5,60.0,-4.4218
11,123.13,2.5,2.5,0.5,60.0,-2.3721
12,128.08,2.5,2.5,0.5,60.0,-2.5695
13,163.83,2.5,2.5,0.5,60.0,-4.2246
14,104.64,2.5,2.5,0.5,60.0,-1.7038
15,164.16,2.5,2.5,0.5,60.0,-4.2414
16,103.37,2.5,2.5,0.5,60.0,-1.6619
17,150.27,2.5,2.5,0.5,60.0,-3.5535
18,133.12,2.5,2.5,0.5,60.0,-4.1178
19,136.43,2.5,2.5,0.5,60.0,-2.9203
20,139.34,2.5,2.5,0.5,60.0,-3.0477
21,164.08,2.5,2.5,0.5,60.0,-4.2373
22,155.28,2.5,2.5,0.5,60.0,-3.7918
23,130.43,2.5,2.5,0.5,60.0,-2.6688
24,152.63,2.5,2.5,0.5,60.0,-3.6622
25,139.02,2.5,2.5,0.5,60.0,-3.0336
26,181.53,2.5,2.5,0.5,60.0,-7.9185
27,152.7,2.5,2.5,0.5,60.0,-3.6657
28,147.01,2.5,2.5,0.5,60.0,-3.3965
29,134.44,2.5,2.5,0.5,60.0,-2.8369
30,198.18,2.5,2.5,0.5,60.0,-6.1989
31,189.56,2.5,2.5,0.5,60.0,-8.4443
32,106.55,2.5,2.5,0.5,60.0,-1.7703
33,197.33,2.5,2.5,0.5,60.0,-9.2573
34,112.89,2.5,2.5,0.5,60.0,-1.9888
35,115.76,2.5,2.5,0.5,60.0,-2.0928
36,123.44,2.5,2.5,0.5,60.0,-2.3844
