Run_ID,Length_mm,Total_Thick_mm,Shrinkage_Strain,Deflection_mm
1,95.62,0.76,-0.0365,32.4248
2,111.74,0.7,-0.0326,33.3054
3,107.93,0.84,-0.0323,37.6362
4,93.73,0.83,-0.0315,33.2359
5,85.33,0.97,-0.039,29.7502
6,102.05,0.79,-0.0372,33.8268
7,118.1,0.84,-0.022,42.1137
8,106.24,0.75,-0.0345,34.3162
9,106.04,0.76,-0.0232,37.8611
10,107.5,1.0,-0.0292,37.6739
11,90.57,0.74,-0.0376,30.8469
12,110.09,0.66,-0.0294,34.0993
13,96.51,0.71,-0.0318,33.0918
14,80.35,0.61,-0.0244,28.5873
15,124.69,0.7,-0.0312,33.6073
16,109.76,0.79,-0.0211,39.0351
17,92.37,0.74,-0.0338,32.1785
18,83.08,0.64,-0.0232,29.3804
19,75.55,0.93,-0.0316,24.2318
20,81.2,0.83,-0.0203,24.7797
21,105.17,0.93,-0.0298,37.262
22,86.81,0.91,-0.0249,27.8886
23,79.25,0.95,-0.0292,25.0512
24,97.4,0.79,-0.0397,32.2066
25,105.48,0.97,-0.0391,36.8775
26,101.03,0.64,-0.0221,35.9483
27,121.97,0.66,-0.0239,39.3418
28,114.3,0.93,-0.0334,40.1887
29,82.14,0.93,-0.0244,25.0867
30,82.72,0.8,-0.026,27.9664
31,84.89,0.92,-0.0358,29.5183
32,87.26,0.63,-0.035,28.42
33,92.79,0.61,-0.0269,32.0761
34,89.31,0.81,-0.0253,30.7465
35,108.94,0.66,-0.0287,34.9384
36,121.87,0.69,-0.0378,24.4896
37,80.57,0.67,-0.0275,28.6112
38,124.79,0.93,-0.0315,43.1298
39,106.55,0.73,-0.0272,37.1957
40,102.27,0.67,-0.0271,35.2039
41,116.26,0.79,-0.022,41.5777
42,119.24,0.84,-0.0232,42.6021
43,119.28,0.7,-0.0289,36.5221
44,92.53,0.92,-0.0261,30.9357
45,113.35,0.75,-0.0335,35.0057
46,101.11,0.89,-0.0281,35.6392
47,98.67,0.7,-0.0201,34.9921
48,105.55,0.91,-0.0259,36.9756
49,103.64,0.86,-0.0285,36.8618
50,102.23,0.97,-0.0229,33.6562
51,93.17,0.8,-0.0296,33.0747
52,102.86,0.66,-0.0291,34.0366
53,101.42,0.84,-0.0203,34.266
54,92.64,0.69,-0.0297,32.5304
55,122.81,0.88,-0.0313,41.7779
56,79.83,0.97,-0.0354,26.6552
57,117.52,0.68,-0.0349,28.4753
58,81.75,0.95,-0.0389,28.2855
59,114.15,0.94,-0.0234,39.823
60,109.85,0.72,-0.0373,30.7142
61,109.02,0.74,-0.0287,37.4118
62,123.81,0.61,-0.03,26.5383
63,92.55,0.64,-0.0374,27.3659
64,110.62,0.97,-0.0243,38.1405
65,97.28,0.83,-0.0277,34.4228
66,120.14,0.66,-0.0204,41.681
67,90.27,0.73,-0.03,32.0648
68,95.52,0.96,-0.0253,31.4766
69,80.21,0.92,-0.0364,27.5058
70,111.29,0.8,-0.0362,35.1196
71,99.94,0.92,-0.0215,32.7756
72,96.73,0.61,-0.0381,24.9916
73,78.7,0.69,-0.0332,27.8748
74,99.88,0.8,-0.0299,35.4628
75,93.78,0.88,-0.0207,30.1226
76,108.28,0.8,-0.0206,38.1096
77,114.56,0.75,-0.0282,38.6501
78,105.53,0.88,-0.0202,35.5894
79,94.46,0.93,-0.0249,31.2796
80,111.09,0.89,-0.0214,38.4635
81,120.27,0.87,-0.0311,41.3473
82,98.8,0.67,-0.0328,31.7105
83,85.77,0.86,-0.027,28.8239
84,83.83,0.75,-0.0355,29.5986
85,79.5,0.92,-0.0273,25.0717
86,114.74,0.98,-0.0258,40.221
87,89.73,0.64,-0.0352,28.7166
88,92.83,0.95,-0.024,29.8753
89,103.71,0.94,-0.0206,33.8791
90,102.56,0.78,-0.0317,35.7362
91,121.23,0.72,-0.0305,36.1244
92,109.53,0.96,-0.0328,38.8899
93,76.96,0.85,-0.0224,23.1774
94,111.57,0.9,-0.0278,39.6941
95,102.34,0.74,-0.0293,35.853
96,120.29,0.79,-0.0294,40.1135
97,80.5,0.63,-0.0366,26.9801
98,92.33,0.81,-0.0318,32.7915
99,105.95,0.83,-0.0235,37.4419
100,117.97,0.98,-0.0251,41.4753
101,80.58,0.96,-0.0259,24.5092
102,108.39,0.9,-0.027,38.439
103,116.61,0.72,-0.0261,39.4659
104,95.64,0.64,-0.0382,27.0147
105,87.17,0.75,-0.0283,30.8679
106,103.33,0.68,-0.0391,27.622
107,113.42,0.64,-0.0339,27.4433
108,103.01,0.64,-0.0295,32.7185
109,124.83,0.74,-0.0316,36.008
110,79.37,0.61,-0.0376,26.0856
111,90.86,0.76,-0.0365,31.4499
112,75.76,0.77,-0.0265,25.2396
113,78.41,0.81,-0.0341,27.2794
114,105.3,0.93,-0.0226,35.6581
115,92.58,0.88,-0.039,32.5319
116,91.48,0.98,-0.0257,29.3408
117,91.76,0.91,-0.0377,32.4409
118,123.15,0.85,-0.0278,42.8405
119,124.2,0.88,-0.0308,42.4459
120,101.71,0.74,-0.0225,36.2111
121,100.84,0.63,-0.037,25.9201
122,120.18,0.98,-0.0259,42.555
123,121.9,0.8,-0.0309,39.6701
124,86.11,0.83,-0.0324,30.2884
125,82.1,0.73,-0.036,28.9076
126,101.66,0.64,-0.0286,33.479
127,81.66,0.78,-0.0299,28.4604
128,111.94,0.92,-0.035,38.896
129,86.1,0.68,-0.0256,30.6134
130,121.14,0.7,-0.0368,27.3861
131,108.25,0.89,-0.0388,36.4327
132,83.95,0.89,-0.0332,28.9793
133,92.39,0.61,-0.0276,31.638
134,96.54,0.62,-0.0335,28.8787
135,101.0,0.79,-0.0211,35.2201
136,78.96,0.85,-0.0326,27.0748
137,84.36,0.88,-0.0288,28.4164
138,114.22,0.65,-0.0394,21.2846
139,90.79,0.9,-0.0339,31.9522
140,106.26,0.82,-0.0208,37.0278
141,102.8,0.9,-0.024,35.4092
142,105.58,0.75,-0.0296,36.502
143,105.07,0.84,-0.0258,37.34
144,92.92,0.83,-0.0216,30.9578
145,86.93,0.84,-0.0216,27.8071
146,122.1,0.78,-0.0291,40.2143
147,78.9,0.77,-0.038,27.8892
148,115.11,0.6,-0.0348,22.0283
149,90.63,0.86,-0.0244,30.3696
150,100.8,0.65,-0.0267,34.68
151,96.35,0.99,-0.0367,33.9483
152,77.09,0.99,-0.0343,24.8638
153,76.71,0.72,-0.0323,27.0951
154,115.17,0.92,-0.0373,38.783
155,84.75,0.62,-0.0314,29.2014
156,108.64,0.81,-0.0384,34.2069
157,82.01,0.85,-0.0335,28.5722
158,100.87,0.74,-0.0382,31.5662
159,112.04,0.85,-0.0396,35.2004
160,96.68,0.89,-0.0373,34.056
161,92.73,0.63,-0.0215,33.1253
162,112.83,0.73,-0.0267,38.7996
163,83.65,0.79,-0.0389,29.4608
164,93.18,0.64,-0.0205,33.2113
165,124.36,0.64,-0.0242,37.8369
166,124.58,0.77,-0.0322,37.2383
167,106.07,0.79,-0.0279,37.6026
168,109.9,0.71,-0.0228,39.0988
169,117.42,0.76,-0.0202,42.0275
170,102.94,0.87,-0.0354,36.021
171,85.42,0.87,-0.021,26.3855
172,124.16,0.99,-0.0298,44.0933
173,82.68,0.61,-0.0209,29.1868
174,106.02,0.95,-0.0381,37.0348
175,107.49,0.71,-0.0213,38.4354
176,118.37,0.7,-0.0301,35.208
177,96.52,0.78,-0.0375,32.5163
178,103.13,1.0,-0.0298,35.8622
179,79.04,0.6,-0.0281,28.0875
180,105.67,0.7,-0.0204,37.7849
181,103.78,0.61,-0.0396,21.2199
182,89.1,0.98,-0.0204,25.9044
183,118.48,0.84,-0.036,37.167
184,124.95,0.72,-0.0268,39.8052
185,84.99,0.96,-0.0367,29.3958
186,112.21,0.93,-0.0382,38.2044
187,118.0,0.93,-0.0268,42.0215
188,100.7,0.83,-0.0393,33.7392
189,116.53,0.82,-0.0314,39.455
190,105.3,0.8,-0.0349,35.4719
191,76.46,0.76,-0.0212,24.0372
192,115.24,0.9,-0.0269,41.0505
193,97.4,0.96,-0.0354,34.3737
194,83.61,0.79,-0.0371,29.5595
195,87.5,0.62,-0.0263,31.0095
196,103.89,0.84,-0.0388,34.5571
197,103.57,0.96,-0.0297,36.3562
198,92.88,0.76,-0.0234,32.4337
199,99.02,0.98,-0.0276,33.6626
200,83.85,0.8,-0.027,28.7439
201,77.33,0.7,-0.0223,25.9045
202,117.44,0.68,-0.0394,22.7683
203,93.9,0.86,-0.0346,33.2672
204,90.52,0.73,-0.0384,30.1652
205,105.52,0.7,-0.0293,35.4652
206,78.03,0.78,-0.0204,24.0587
207,117.05,0.71,-0.0289,36.9747
208,81.75,0.96,-0.0276,25.5455
209,89.25,0.9,-0.0395,31.5153
210,75.7,0.78,-0.0251,24.6299
211,115.23,0.93,-0.0266,40.974
212,80.58,0.72,-0.0216,26.7867
213,89.91,0.88,-0.0296,31.1128
214,120.66,0.81,-0.0229,40.8824
215,105.04,0.9,-0.0274,37.1213
216,120.94,0.68,-0.0211,41.9805
217,100.3,0.75,-0.0386,31.4838
218,113.08,0.98,-0.0259,39.5013
219,118.16,0.81,-0.0379,34.73
220,99.21,0.92,-0.0232,33.0479
221,97.06,0.64,-0.0386,26.0748
222,91.91,0.67,-0.0243,32.8129
223,114.12,0.82,-0.0324,38.6069
224,96.73,0.63,-0.0315,31.0139
225,101.95,0.61,-0.0354,26.0299
226,106.3,0.97,-0.0368,37.4802
227,80.12,0.94,-0.0244,24.0602
228,82.93,0.61,-0.0388,25.6516
229,76.85,0.73,-0.039,27.0561
230,76.35,0.73,-0.0266,26.0347
231,95.59,0.79,-0.0356,33.1777
232,105.62,0.99,-0.0382,37.2184
233,96.58,0.78,-0.0319,34.0706
234,99.11,0.66,-0.0311,32.4477
235,101.9,0.96,-0.0254,34.6004
236,96.4,0.75,-0.0295,34.1706
237,76.72,0.61,-0.0281,27.2874
238,75.42,0.96,-0.0275,22.4768
239,76.57,0.66,-0.0223,26.0516
240,83.38,0.95,-0.0246,25.5334
241,118.44,0.7,-0.0367,28.2602
242,117.28,0.71,-0.0254,39.8519
243,108.7,0.7,-0.0277,36.848
244,75.79,0.89,-0.0391,26.173
245,76.32,0.82,-0.0338,26.3313
246,107.4,0.98,-0.0239,36.3302
247,110.77,0.95,-0.027,39.0306
248,87.88,0.9,-0.028,29.5467
249,85.66,0.98,-0.0326,28.739
250,115.51,0.83,-0.0365,36.547
251,109.28,0.93,-0.0235,37.7704
252,81.88,0.73,-0.0223,27.542
253,87.84,0.75,-0.0289,31.1642
254,112.39,0.63,-0.025,36.2541
255,89.48,0.83,-0.0373,31.5547
256,103.24,0.79,-0.0228,36.5663
257,90.85,0.92,-0.0277,30.6318
258,108.82,0.65,-0.0309,32.1365
259,121.16,0.87,-0.0373,37.7586
260,81.81,0.89,-0.0213,24.4382
261,123.37,0.65,-0.0385,18.8372
262,113.73,0.98,-0.0268,39.9808
263,96.39,0.89,-0.0292,33.8405
264,87.42,0.92,-0.0292,29.3695
265,78.91,0.82,-0.0243,25.2505
266,96.87,0.93,-0.0261,32.8653
267,75.17,0.84,-0.0341,25.6234
268,104.7,0.92,-0.0337,37.0967
269,95.28,0.71,-0.0363,31.1731
270,107.37,0.66,-0.0316,32.4814
271,123.91,0.95,-0.039,39.6381
272,112.22,0.71,-0.0287,37.1565
273,77.76,0.95,-0.0271,23.7383
274,93.87,0.84,-0.0277,32.9052
275,85.18,0.93,-0.0243,26.6652
276,110.98,0.77,-0.0348,35.1372
277,119.95,0.63,-0.0274,33.4039
278,80.85,0.86,-0.0255,25.9355
279,81.91,0.78,-0.0313,28.7556
280,91.52,0.64,-0.036,28.4266
281,76.96,0.73,-0.0369,27.1934
282,85.92,0.78,-0.03,30.3083
283,79.72,0.91,-0.0399,27.7915
284,95.2,0.8,-0.02,31.865
285,99.59,0.79,-0.0351,34.1723
286,94.5,0.67,-0.0276,33.24
287,86.52,0.73,-0.0397,29.2421
288,80.18,0.9,-0.0317,26.8697
289,107.71,0.67,-0.0319,32.5683
290,112.88,0.64,-0.0303,31.8698
291,80.93,0.9,-0.0296,26.7217
292,113.53,0.69,-0.0211,40.3541
293,90.87,0.74,-0.0243,31.9577
294,117.69,0.84,-0.0299,40.7283
295,122.33,0.81,-0.0243,43.3497
296,87.45,0.72,-0.0319,30.9528
297,113.57,0.8,-0.0398,32.6649
298,90.21,0.93,-0.0285,30.396
299,98.21,0.84,-0.036,34.3337
300,81.97,0.69,-0.0231,28.4048
301,87.61,0.89,-0.0368,30.8849
302,85.83,0.94,-0.0334,29.3884
303,108.06,0.97,-0.0262,37.4826
304,80.39,0.61,-0.0317,28.0493
305,88.2,0.62,-0.0279,30.8205
306,80.5,0.71,-0.0381,27.9489
307,76.36,1.0,-0.0256,21.8476
308,89.71,0.7,-0.0247,31.8796
309,111.64,0.87,-0.0379,36.637
310,89.22,0.62,-0.027,31.3749
311,107.44,0.64,-0.0233,37.1396
312,101.21,0.7,-0.0229,36.143
313,97.03,0.93,-0.0385,34.2547
314,107.84,0.63,-0.0323,29.4249
315,78.23,0.74,-0.0244,26.1661
316,111.25,0.72,-0.0317,35.2097
317,111.67,0.83,-0.0324,38.3524
318,111.27,0.69,-0.0312,34.3012
319,100.98,0.8,-0.0343,34.9448
320,93.97,0.88,-0.03,33.0085
321,89.92,0.87,-0.0305,31.4048
322,103.4,0.73,-0.0285,36.024
323,90.9,0.72,-0.0293,32.2778
324,103.16,0.63,-0.0362,26.8739
325,111.7,0.97,-0.0343,39.4301
326,78.36,0.77,-0.0344,27.6196
327,77.47,0.96,-0.032,24.8887
328,89.75,0.65,-0.0317,30.7516
329,80.65,0.81,-0.0396,28.4788
330,109.51,0.83,-0.0338,37.475
331,100.99,0.76,-0.0309,35.3165
332,105.23,0.65,-0.0291,33.8546
333,77.07,0.96,-0.0259,22.8084
334,84.5,0.9,-0.0306,28.5868
335,102.52,0.95,-0.0225,34.0014
336,82.94,0.96,-0.0357,28.2762
337,117.27,0.77,-0.0217,41.9136
338,116.05,0.94,-0.0205,39.6926
339,92.21,0.87,-0.0229,30.48
340,92.14,0.86,-0.0365,32.6052
341,99.31,0.89,-0.0392,34.4466
342,106.09,0.98,-0.0382,37.2722
343,123.38,0.88,-0.0321,41.4363
344,93.44,0.73,-0.0221,32.7614
345,121.67,0.82,-0.0261,42.7024
346,90.39,0.76,-0.0302,32.116
347,119.63,0.77,-0.0377,31.9915
348,92.91,0.62,-0.0301,30.9422
349,91.54,0.85,-0.0212,29.7969
350,97.19,0.98,-0.0207,29.9928
351,92.75,0.74,-0.0369,31.398
352,92.1,0.66,-0.0285,32.3237
353,90.88,0.93,-0.0284,30.6855
354,113.61,0.85,-0.0333,38.815
355,89.11,0.68,-0.0348,30.1147
356,104.18,0.63,-0.0256,35.1621
357,94.58,0.7,-0.024,33.724
358,104.79,0.98,-0.03,36.7922
359,95.91,0.9,-0.0278,33.2221
360,122.42,0.67,-0.0208,42.125
361,97.1,0.95,-0.0272,33.0742
362,114.76,0.73,-0.0224,40.7942
363,113.97,0.62,-0.0206,39.3782
364,92.56,0.79,-0.0242,32.1606
365,98.6,0.71,-0.0328,33.1643
366,109.16,0.98,-0.0329,38.6839
367,114.84,0.89,-0.0329,39.7756
368,111.5,0.9,-0.0201,38.1135
369,111.16,0.89,-0.0216,38.6332
370,112.81,0.76,-0.0263,39.498
371,112.75,0.95,-0.0368,39.0716
372,87.27,0.63,-0.0291,30.5717
373,115.07,0.91,-0.0332,40.1271
374,107.9,0.92,-0.0386,37.0337
375,83.03,0.94,-0.0382,28.8521
376,114.99,0.95,-0.0344,40.2264
377,121.63,0.98,-0.0381,40.8045
378,120.79,0.71,-0.0223,42.13
379,92.4,0.67,-0.0277,32.7215
380,108.64,0.91,-0.0224,37.4763
381,96.75,0.81,-0.0296,34.3833
382,88.76,0.94,-0.0276,29.3874
383,75.65,0.77,-0.023,24.053
384,114.43,0.98,-0.0218,38.9211
385,104.39,0.81,-0.0363,35.0235
386,117.55,0.76,-0.0265,40.4559
387,110.48,0.95,-0.0261,38.7729
388,91.26,0.63,-0.0296,31.42
389,112.36,0.95,-0.0248,39.3218
390,79.49,0.75,-0.0216,25.8069
391,78.8,0.9,-0.0302,25.8564
392,122.49,0.95,-0.0234,43.3954
393,117.05,0.82,-0.0287,40.6258
394,107.2,0.64,-0.0216,37.6884
395,78.66,0.99,-0.0371,26.2155
396,123.14,0.8,-0.0313,39.2588
397,110.46,0.88,-0.0275,39.3273
398,113.57,0.8,-0.03,39.0185
399,122.2,0.7,-0.0274,37.9258
400,124.65,0.97,-0.0254,44.3752
