Run_ID,Length_mm,TPU_Thick_mm,PLA_Thick_mm,Total_Thick_mm,Shrinkage_Strain,Deflection_mm
1,115.01,0.21,0.63,0.85,-0.0371,26.0528
2,112.22,0.21,0.62,0.83,-0.0287,21.7027
3,119.13,0.19,0.56,0.74,-0.029,26.121
4,75.34,0.22,0.66,0.88,-0.0263,9.854
5,90.51,0.22,0.65,0.87,-0.0382,17.361
6,94.55,0.21,0.64,0.85,-0.0393,19.7195
7,89.08,0.22,0.66,0.87,-0.0343,15.6948
8,121.12,0.15,0.45,0.6,-0.0347,34.1495
9,96.06,0.25,0.75,1.0,-0.021,11.9976
10,92.41,0.19,0.56,0.75,-0.0212,13.9738
11,96.82,0.18,0.54,0.73,-0.0232,16.3041
12,95.35,0.25,0.74,0.98,-0.0381,17.3826
13,89.31,0.18,0.55,0.73,-0.0323,17.1589
14,89.3,0.17,0.51,0.69,-0.025,15.479
15,102.69,0.23,0.68,0.9,-0.0369,20.5791
16,91.14,0.21,0.64,0.85,-0.0385,17.8282
17,117.22,0.21,0.63,0.85,-0.0287,22.8192
18,90.3,0.15,0.45,0.6,-0.038,22.036
19,94.9,0.19,0.58,0.77,-0.038,20.5593
20,98.3,0.17,0.52,0.69,-0.0208,16.2697
21,89.49,0.22,0.65,0.87,-0.0345,16.0013
22,85.89,0.18,0.53,0.7,-0.0328,16.7574
23,82.07,0.18,0.55,0.73,-0.0215,11.4742
24,92.57,0.24,0.72,0.97,-0.0302,14.3757
25,83.84,0.2,0.6,0.81,-0.0244,11.9961
26,100.51,0.22,0.65,0.86,-0.0373,20.5189
27,121.51,0.18,0.54,0.72,-0.0265,26.435
28,107.54,0.19,0.58,0.77,-0.0212,17.7637
29,121.12,0.22,0.67,0.89,-0.0302,24.3091
30,121.97,0.15,0.46,0.61,-0.021,26.6058
31,90.4,0.16,0.49,0.65,-0.0307,18.5086
32,107.81,0.15,0.46,0.62,-0.0303,25.731
33,93.95,0.17,0.5,0.67,-0.0272,18.0068
34,80.94,0.23,0.69,0.92,-0.0228,9.9715
35,110.73,0.17,0.52,0.7,-0.0388,28.501
36,86.59,0.2,0.61,0.81,-0.0356,16.1969
37,88.03,0.22,0.66,0.88,-0.0266,12.8816
38,88.72,0.24,0.71,0.95,-0.0384,15.8289
39,97.32,0.19,0.58,0.77,-0.0334,19.4608
40,83.35,0.25,0.74,0.98,-0.0395,14.107
41,86.1,0.24,0.71,0.95,-0.0396,15.394
42,102.86,0.17,0.51,0.68,-0.0257,20.1034
43,98.44,0.2,0.6,0.8,-0.0349,20.0472
44,98.78,0.2,0.6,0.81,-0.0274,17.354
45,105.76,0.24,0.71,0.95,-0.0234,15.8845
46,121.91,0.22,0.66,0.88,-0.0205,19.7279
47,98.4,0.21,0.63,0.84,-0.0288,17.1308
48,117.84,0.24,0.72,0.96,-0.0209,17.664
49,117.98,0.17,0.52,0.69,-0.0307,28.1146
50,124.87,0.19,0.57,0.77,-0.0261,26.1985
51,108.65,0.18,0.55,0.74,-0.039,26.6257
52,75.36,0.17,0.52,0.7,-0.026,11.7617
53,115.17,0.17,0.51,0.68,-0.0328,28.2909
54,110.8,0.21,0.63,0.84,-0.034,23.5916
55,93.64,0.18,0.54,0.72,-0.036,20.2305
56,91.8,0.18,0.55,0.73,-0.0306,17.3776
57,75.46,0.21,0.62,0.83,-0.0361,12.5806
58,89.52,0.18,0.54,0.72,-0.0238,14.5295
59,96.78,0.19,0.56,0.75,-0.0273,17.1773
60,109.81,0.17,0.51,0.68,-0.0252,22.4652
61,102.57,0.2,0.59,0.79,-0.0372,22.5691
62,111.85,0.2,0.6,0.8,-0.0323,24.0106
63,101.44,0.16,0.48,0.64,-0.0341,24.1247
64,90.95,0.16,0.49,0.65,-0.0248,16.5544
65,75.4,0.23,0.7,0.93,-0.0242,8.7307
66,96.7,0.24,0.73,0.97,-0.0295,15.2327
67,105.52,0.2,0.6,0.81,-0.0226,17.2852
68,120.08,0.16,0.48,0.63,-0.038,34.1247
69,92.82,0.2,0.59,0.78,-0.0283,16.1335
70,112.96,0.16,0.48,0.64,-0.0273,25.6015
71,77.77,0.2,0.61,0.82,-0.0201,9.1145
72,106.15,0.18,0.54,0.72,-0.0369,25.3064
73,100.33,0.19,0.56,0.74,-0.0366,22.3527
74,123.24,0.17,0.51,0.68,-0.0314,30.8215
75,117.61,0.19,0.57,0.76,-0.0274,24.4361
76,109.93,0.2,0.6,0.8,-0.0303,21.7527
77,76.37,0.19,0.57,0.76,-0.0263,11.1352
78,86.71,0.19,0.56,0.74,-0.0352,17.0774
79,122.88,0.23,0.69,0.91,-0.0371,27.6844
80,94.19,0.22,0.65,0.87,-0.0285,15.3722
81,113.75,0.24,0.72,0.96,-0.0232,17.6098
82,108.35,0.25,0.75,1.0,-0.0385,21.5931
83,80.07,0.22,0.67,0.89,-0.0226,9.9149
84,90.98,0.23,0.69,0.92,-0.0392,17.1754
85,80.51,0.15,0.45,0.6,-0.0272,14.9296
86,77.25,0.25,0.75,1.0,-0.0394,12.302
87,114.38,0.16,0.49,0.65,-0.0372,30.725
88,102.16,0.18,0.55,0.73,-0.03,20.7793
89,93.87,0.24,0.71,0.94,-0.0392,17.8402
90,124.75,0.22,0.67,0.89,-0.0288,24.8545
91,123.19,0.18,0.54,0.72,-0.0213,24.0288
92,86.67,0.19,0.58,0.78,-0.0298,14.8199
93,114.15,0.16,0.49,0.66,-0.0205,22.1973
94,123.86,0.2,0.61,0.81,-0.0314,27.5995
95,84.01,0.21,0.63,0.84,-0.0254,11.9724
96,120.04,0.23,0.7,0.93,-0.028,22.1561
97,85.57,0.17,0.52,0.69,-0.0202,12.6248
98,81.41,0.24,0.71,0.94,-0.035,12.8858
99,98.95,0.24,0.73,0.98,-0.0363,17.9926
100,83.63,0.22,0.65,0.87,-0.0385,15.2123
101,94.19,0.25,0.74,0.98,-0.0399,17.5096
102,91.48,0.21,0.64,0.86,-0.0361,17.2705
103,113.73,0.15,0.46,0.61,-0.0392,32.5678
104,91.74,0.18,0.53,0.7,-0.0218,14.6484
105,123.25,0.16,0.49,0.65,-0.0293,30.769
106,83.02,0.19,0.56,0.74,-0.0314,14.7666
107,98.94,0.22,0.66,0.88,-0.0375,19.8096
108,79.3,0.23,0.7,0.93,-0.0246,10.0042
109,103.68,0.21,0.64,0.85,-0.0399,22.8033
110,116.59,0.24,0.73,0.97,-0.0288,20.8023
111,106.61,0.2,0.6,0.8,-0.0302,21.017
112,89.5,0.19,0.57,0.76,-0.0217,13.3915
113,121.13,0.18,0.54,0.72,-0.031,28.4365
114,120.36,0.19,0.58,0.77,-0.0207,21.5556
115,79.08,0.21,0.63,0.84,-0.0399,14.4918
116,97.51,0.22,0.66,0.88,-0.0241,14.7911
117,77.55,0.15,0.46,0.62,-0.0326,15.3073
118,75.19,0.22,0.66,0.89,-0.028,10.2066
119,103.4,0.17,0.5,0.67,-0.0323,23.4832
120,89.77,0.16,0.48,0.64,-0.0239,16.022
121,86.49,0.18,0.55,0.74,-0.0279,14.7883
122,118.82,0.21,0.62,0.82,-0.0238,21.6857
123,107.43,0.17,0.5,0.66,-0.0351,26.4907
124,91.08,0.22,0.67,0.89,-0.0383,17.3089
125,115.44,0.23,0.7,0.93,-0.0294,20.9013
126,90.18,0.21,0.63,0.83,-0.0308,15.4438
127,95.97,0.22,0.66,0.88,-0.0244,14.5876
128,114.09,0.17,0.5,0.67,-0.034,28.6548
129,120.34,0.16,0.48,0.64,-0.0223,25.4171
130,84.13,0.24,0.71,0.95,-0.0224,10.2553
131,115.81,0.25,0.74,0.98,-0.0203,16.0271
132,99.55,0.22,0.67,0.9,-0.0312,17.5948
133,90.28,0.19,0.58,0.77,-0.0345,17.6637
134,105.69,0.24,0.72,0.96,-0.0265,16.4704
135,120.31,0.17,0.5,0.66,-0.0305,29.7494
136,104.39,0.18,0.55,0.74,-0.03,21.4964
137,117.36,0.2,0.6,0.8,-0.0397,28.8408
138,114.62,0.23,0.68,0.9,-0.0343,23.6073
139,118.08,0.24,0.73,0.97,-0.0387,25.3919
140,92.52,0.24,0.73,0.97,-0.0212,11.5181
141,75.05,0.19,0.56,0.75,-0.02,9.3388
142,121.36,0.18,0.54,0.71,-0.0275,26.8128
143,88.5,0.22,0.67,0.9,-0.0314,14.4113
144,103.3,0.16,0.47,0.63,-0.0291,23.2519
145,120.04,0.21,0.64,0.85,-0.0235,21.3731
146,91.05,0.23,0.7,0.93,-0.0213,11.595
147,122.45,0.24,0.72,0.96,-0.0237,20.2675
148,100.65,0.22,0.66,0.88,-0.0267,16.5394
149,123.52,0.19,0.58,0.77,-0.0255,25.4293
150,92.17,0.23,0.68,0.9,-0.0255,13.4628
151,111.01,0.19,0.56,0.75,-0.035,25.8344
152,81.08,0.18,0.54,0.72,-0.0327,14.8155
153,112.83,0.18,0.53,0.71,-0.025,22.8743
154,114.73,0.15,0.45,0.6,-0.0286,28.2909
155,114.66,0.2,0.59,0.78,-0.0275,22.9579
156,78.09,0.16,0.48,0.64,-0.0341,15.459
157,97.08,0.2,0.6,0.81,-0.0372,19.9895
158,85.67,0.24,0.71,0.94,-0.029,12.4539
159,97.84,0.23,0.7,0.94,-0.0315,16.8678
160,97.32,0.22,0.65,0.87,-0.0329,17.4917
161,109.88,0.19,0.56,0.74,-0.0316,23.971
162,117.33,0.18,0.53,0.71,-0.0367,29.974
163,90.19,0.15,0.45,0.61,-0.0383,22.0064
164,101.74,0.2,0.59,0.78,-0.0345,21.4099
165,119.47,0.17,0.52,0.7,-0.0374,31.5633
166,117.24,0.15,0.46,0.62,-0.0256,27.1927
167,106.06,0.24,0.73,0.97,-0.0349,19.9981
168,108.59,0.17,0.51,0.68,-0.0231,20.8307
169,111.56,0.19,0.58,0.78,-0.0307,23.6308
170,79.95,0.22,0.66,0.88,-0.0299,11.9168
171,112.57,0.21,0.62,0.82,-0.0379,25.8978
172,122.69,0.19,0.58,0.77,-0.0282,26.3492
173,89.99,0.18,0.53,0.7,-0.0213,13.9775
174,107.39,0.16,0.49,0.66,-0.0211,20.0481
175,85.36,0.21,0.63,0.84,-0.0268,12.8004
176,88.56,0.18,0.53,0.7,-0.0201,13.0108
177,92.9,0.24,0.73,0.97,-0.0255,12.9645
178,101.72,0.24,0.73,0.97,-0.0327,17.8095
179,83.14,0.21,0.63,0.84,-0.0261,12.0726
180,90.73,0.2,0.61,0.81,-0.0296,15.4972
181,117.43,0.18,0.53,0.71,-0.0301,26.9711
182,102.25,0.23,0.69,0.92,-0.039,21.2577
183,101.01,0.21,0.63,0.84,-0.0315,19.036
184,97.53,0.21,0.63,0.84,-0.0293,16.9555
185,109.41,0.25,0.74,0.99,-0.0389,22.3171
186,103.06,0.19,0.56,0.75,-0.0267,19.021
187,106.39,0.23,0.69,0.92,-0.0272,17.8072
188,114.07,0.15,0.46,0.61,-0.0282,27.5278
189,118.69,0.16,0.47,0.62,-0.0209,24.8856
190,101.46,0.22,0.66,0.88,-0.0288,17.5263
191,80.41,0.22,0.67,0.89,-0.0225,9.9908
192,123.66,0.17,0.51,0.68,-0.0359,33.3542
193,78.03,0.17,0.51,0.68,-0.0369,15.5645
194,109.95,0.15,0.45,0.6,-0.0374,30.3214
195,79.72,0.24,0.72,0.96,-0.0275,10.5399
196,121.49,0.22,0.66,0.88,-0.0277,23.4434
197,119.11,0.17,0.52,0.7,-0.0366,31.0978
198,116.86,0.18,0.54,0.73,-0.0303,26.4493
199,100.52,0.2,0.59,0.79,-0.0234,16.3982
200,78.77,0.2,0.6,0.81,-0.037,13.9761
201,119.23,0.22,0.67,0.89,-0.0231,20.1348
202,112.47,0.25,0.75,1.0,-0.03,19.6682
203,77.98,0.22,0.66,0.89,-0.0362,12.7778
204,87.5,0.18,0.53,0.7,-0.023,13.9103
205,75.45,0.24,0.73,0.97,-0.035,11.0705
206,78.53,0.22,0.66,0.88,-0.0254,10.3965
207,101.03,0.22,0.66,0.87,-0.0292,17.5446
208,82.17,0.17,0.51,0.68,-0.0396,17.6478
209,77.28,0.21,0.64,0.86,-0.03,11.3739
210,93.31,0.22,0.65,0.86,-0.0345,17.2578
211,87.89,0.25,0.74,0.99,-0.0347,14.1143
212,116.57,0.21,0.62,0.82,-0.0299,24.1105
