Run_ID,Length_mm,PLA_Thick_mm,TPU_Thick_mm,Shrinkage_Strain,Deflection_mm
1,116.8,0.68,0.17,-0.0361,-29.974
2,102.71,0.56,0.17,-0.0268,-29.9863
3,90.86,0.7,0.2,-0.0252,-25.8382
4,115.06,0.61,0.23,-0.0252,-34.8336
5,120.35,0.63,0.23,-0.0397,-25.6037
6,86.48,0.69,0.24,-0.0325,-26.3492
7,113.61,0.67,0.21,-0.0399,-28.1932
8,92.23,0.75,0.17,-0.0303,-26.2143
9,117.33,0.46,0.22,-0.032,-19.4913
10,122.44,0.59,0.18,-0.0334,-26.9224
11,92.47,0.47,0.18,-0.0338,-22.8664
12,114.04,0.58,0.21,-0.039,-23.2892
13,109.44,0.69,0.22,-0.0315,-32.492
14,82,0.7,0.22,-0.0336,-24.4911
15,101.05,0.53,0.21,-0.0303,-28.4314
16,107.03,0.74,0.25,-0.0283,-32.6304
17,113.67,0.55,0.22,-0.0234,-33.9812
18,83.81,0.6,0.25,-0.0271,-26.0042
19,122.54,0.59,0.25,-0.0298,-32.23
20,108.59,0.65,0.24,-0.0374,-29.8493
21,84.9,0.5,0.19,-0.0225,-26.3755
22,117.43,0.48,0.2,-0.0356,-15.8912
23,86.15,0.63,0.22,-0.0221,-24.7711
24,92.09,0.49,0.22,-0.0218,-29.4184
25,118.91,0.55,0.24,-0.0388,-20.1
26,111.08,0.65,0.18,-0.0288,-32.1451
27,120.04,0.65,0.17,-0.0238,-34.9243
28,114.89,0.63,0.24,-0.0333,-31.52
29,75.93,0.75,0.18,-0.0257,-18.8145
30,98.45,0.47,0.18,-0.0208,-29.9285
31,94.44,0.62,0.22,-0.038,-27.5131
32,121,0.48,0.2,-0.0265,-26.3961
33,88.57,0.68,0.21,-0.0275,-26.1054
34,95.58,0.56,0.19,-0.0373,-25.3391
35,85.82,0.6,0.2,-0.0285,-26.1803
36,122.8,0.52,0.25,-0.0219,-35.7598
37,101.02,0.45,0.24,-0.0244,-30.1963
